year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points,from_country_name,from_country_region,to_country_name,to_country_region
1957,final,at,nl,at,nl,6,,,Austria,Europe,Netherlands (the),Europe
1957,final,at,lu,at,lu,3,,,Austria,Europe,Luxembourg,Europe
1957,final,at,gb,at,gb,1,,,Austria,Europe,United Kingdom of Great Britain and Northern Ireland (the),Europe
1957,final,be,nl,be,nl,5,,,Belgium,Europe,Netherlands (the),Europe
1957,final,be,fr,be,fr,2,,,Belgium,Europe,France,Europe
1957,final,be,de,be,de,1,,,Belgium,Europe,Germany,Europe
1957,final,be,it,be,it,1,,,Belgium,Europe,Italy,Europe
1957,final,be,gb,be,gb,1,,,Belgium,Europe,United Kingdom of Great Britain and Northern Ireland (the),Europe
1957,final,dk,nl,dk,nl,3,,,Denmark,Europe,Netherlands (the),Europe
1957,final,dk,fr,dk,fr,2,,,Denmark,Europe,France,Europe
1957,final,dk,it,dk,it,1,,,Denmark,Europe,Italy,Europe
1957,final,dk,be,dk,be,2,,,Denmark,Europe,Belgium,Europe
1957,final,dk,ch,dk,ch,2,,,Denmark,Europe,Switzerland,Europe
1957,final,fr,nl,fr,nl,4,,,France,Europe,Netherlands (the),Europe
1957,final,fr,de,fr,de,6,,,France,Europe,Germany,Europe
1957,final,de,nl,de,nl,1,,,Germany,Europe,Netherlands (the),Europe
1957,final,de,fr,de,fr,6,,,Germany,Europe,France,Europe
1957,final,de,be,de,be,2,,,Germany,Europe,Belgium,Europe
1957,final,de,ch,de,ch,1,,,Germany,Europe,Switzerland,Europe
1957,final,it,nl,it,nl,1,,,Italy,Europe,Netherlands (the),Europe
1957,final,it,dk,it,dk,3,,,Italy,Europe,Denmark,Europe
1957,final,it,lu,it,lu,4,,,Italy,Europe,Luxembourg,Europe
1957,final,it,de,it,de,1,,,Italy,Europe,Germany,Europe
1957,final,it,ch,it,ch,1,,,Italy,Europe,Switzerland,Europe
1957,final,lu,nl,lu,nl,3,,,Luxembourg,Europe,Netherlands (the),Europe
1957,final,lu,fr,lu,fr,4,,,Luxembourg,Europe,France,Europe
1957,final,lu,it,lu,it,1,,,Luxembourg,Europe,Italy,Europe
1957,final,lu,gb,lu,gb,1,,,Luxembourg,Europe,United Kingdom of Great Britain and Northern Ireland (the),Europe
1957,final,lu,ch,lu,ch,1,,,Luxembourg,Europe,Switzerland,Europe
1957,final,nl,fr,nl,fr,1,,,Netherlands (the),Europe,France,Europe
1957,final,nl,dk,nl,dk,5,,,Netherlands (the),Europe,Denmark,Europe
1957,final,nl,it,nl,it,2,,,Netherlands (the),Europe,Italy,Europe
1957,final,nl,gb,nl,gb,1,,,Netherlands (the),Europe,United Kingdom of Great Britain and Northern Ireland (the),Europe
1957,final,nl,at,nl,at,1,,,Netherlands (the),Europe,Austria,Europe
1957,final,ch,nl,ch,nl,7,,,Switzerland,Europe,Netherlands (the),Europe
1957,final,ch,gb,ch,gb,2,,,Switzerland,Europe,United Kingdom of Great Britain and Northern Ireland (the),Europe
1957,final,ch,be,ch,be,1,,,Switzerland,Europe,Belgium,Europe
1957,final,gb,nl,gb,nl,1,,,United Kingdom of Great Britain and Northern Ireland (the),Europe,Netherlands (the),Europe
1957,final,gb,fr,gb,fr,2,,,United Kingdom of Great Britain and Northern Ireland (the),Europe,France,Europe
1957,final,gb,dk,gb,dk,2,,,United Kingdom of Great Britain and Northern Ireland (the),Europe,Denmark,Europe
1957,final,gb,lu,gb,lu,1,,,United Kingdom of Great Britain and Northern Ireland (the),Europe,Luxembourg,Europe
1957,final,gb,it,gb,it,2,,,United Kingdom of Great Britain and Northern Ireland (the),Europe,Italy,Europe
1957,final,gb,at,gb,at,2,,,United Kingdom of Great Britain and Northern Ireland (the),Europe,Austria,Europe
1958,final,at,fr,at,fr,7,,,Austria,Europe,France,Europe
1958,final,at,it,at,it,1,,,Austria,Europe,Italy,Europe
1958,final,at,se,at,se,1,,,Austria,Europe,Sweden,Europe
1958,final,at,de,at,de,1,,,Austria,Europe,Germany,Europe
1958,final,be,fr,be,fr,1,,,Belgium,Europe,France,Europe
1958,final,be,ch,be,ch,2,,,Belgium,Europe,Switzerland,Europe
1958,final,be,it,be,it,4,,,Belgium,Europe,Italy,Europe
1958,final,be,se,be,se,1,,,Belgium,Europe,Sweden,Europe
1958,final,be,at,be,at,1,,,Belgium,Europe,Austria,Europe
1958,final,be,de,be,de,1,,,Belgium,Europe,Germany,Europe
1958,final,dk,fr,dk,fr,9,,,Denmark,Europe,France,Europe
1958,final,dk,be,dk,be,1,,,Denmark,Europe,Belgium,Europe
1958,final,fr,ch,fr,ch,3,,,France,Europe,Switzerland,Europe
1958,final,fr,it,fr,it,1,,,France,Europe,Italy,Europe
1958,final,fr,at,fr,at,3,,,France,Europe,Austria,Europe
1958,final,fr,de,fr,de,2,,,France,Europe,Germany,Europe
1958,final,fr,dk,fr,dk,1,,,France,Europe,Denmark,Europe
1958,final,de,fr,de,fr,1,,,Germany,Europe,France,Europe
1958,final,de,it,de,it,4,,,Germany,Europe,Italy,Europe
1958,final,de,be,de,be,5,,,Germany,Europe,Belgium,Europe
1958,final,it,fr,it,fr,6,,,Italy,Europe,France,Europe
1958,final,it,ch,it,ch,4,,,Italy,Europe,Switzerland,Europe
1958,final,lu,fr,lu,fr,1,,,Luxembourg,Europe,France,Europe
1958,final,lu,ch,lu,ch,5,,,Luxembourg,Europe,Switzerland,Europe
1958,final,lu,se,lu,se,3,,,Luxembourg,Europe,Sweden,Europe
1958,final,lu,at,lu,at,1,,,Luxembourg,Europe,Austria,Europe
1958,final,nl,ch,nl,ch,6,,,Netherlands (the),Europe,Switzerland,Europe
1958,final,nl,it,nl,it,1,,,Netherlands (the),Europe,Italy,Europe
1958,final,nl,se,nl,se,2,,,Netherlands (the),Europe,Sweden,Europe
1958,final,nl,dk,nl,dk,1,,,Netherlands (the),Europe,Denmark,Europe
1958,final,se,fr,se,fr,1,,,Sweden,Europe,France,Europe
1958,final,se,ch,se,ch,4,,,Sweden,Europe,Switzerland,Europe
