station1,station2,line,time,name,colour
11,163,1,1,Bakerloo Line,#AE6017
11,212,1,2,Bakerloo Line,#AE6017
49,87,1,1,Bakerloo Line,#AE6017
49,197,1,2,Bakerloo Line,#AE6017
82,163,1,2,Bakerloo Line,#AE6017
82,193,1,3,Bakerloo Line,#AE6017
84,148,1,3,Bakerloo Line,#AE6017
87,279,1,2,Bakerloo Line,#AE6017
113,246,1,2,Bakerloo Line,#AE6017
113,298,1,2,Bakerloo Line,#AE6017
114,140,1,2,Bakerloo Line,#AE6017
137,206,1,3,Bakerloo Line,#AE6017
137,298,1,3,Bakerloo Line,#AE6017
140,237,1,2,Bakerloo Line,#AE6017
143,159,1,2,Bakerloo Line,#AE6017
143,206,1,2,Bakerloo Line,#AE6017
148,279,1,1,Bakerloo Line,#AE6017
159,278,1,1,Bakerloo Line,#AE6017
185,237,1,2,Bakerloo Line,#AE6017
185,281,1,2,Bakerloo Line,#AE6017
192,197,1,2,Bakerloo Line,#AE6017
192,212,1,2,Bakerloo Line,#AE6017
193,278,1,2,Bakerloo Line,#AE6017
246,281,1,3,Bakerloo Line,#AE6017
13,156,2,2,Central Line,#F15B2E
13,250,2,2,Central Line,#F15B2E
16,91,2,2,Central Line,#F15B2E
16,173,2,2,Central Line,#F15B2E
24,156,2,3,Central Line,#F15B2E
24,164,2,2,Central Line,#F15B2E
28,162,2,1,Central Line,#F15B2E
28,192,2,1,Central Line,#F15B2E
37,158,2,3,Central Line,#F15B2E
37,301,2,3,Central Line,#F15B2E
48,126,2,1,Central Line,#F15B2E
48,250,2,2,Central Line,#F15B2E
51,103,2,2,Central Line,#F15B2E
51,215,2,2,Central Line,#F15B2E
68,158,2,2,Central Line,#F15B2E
68,256,2,3,Central Line,#F15B2E
72,286,2,3,Central Line,#F15B2E
76,181,2,2,Central Line,#F15B2E
76,296,2,3,Central Line,#F15B2E
88,256,2,2,Central Line,#F15B2E
91,109,2,2,Central Line,#F15B2E
98,173,2,3,Central Line,#F15B2E
98,211,2,2,Central Line,#F15B2E
103,109,2,3,Central Line,#F15B2E
105,177,2,2,Central Line,#F15B2E
105,196,2,2,Central Line,#F15B2E
112,181,2,3,Central Line,#F15B2E
112,196,2,2,Central Line,#F15B2E
126,259,2,2,Central Line,#F15B2E
127,186,2,2,Central Line,#F15B2E
127,226,2,1,Central Line,#F15B2E
149,162,2,3,Central Line,#F15B2E
149,208,2,1,Central Line,#F15B2E
153,154,2,3,Central Line,#F15B2E
153,247,2,2,Central Line,#F15B2E
154,230,2,2,Central Line,#F15B2E
154,275,2,2,Central Line,#F15B2E
164,247,2,4,Central Line,#F15B2E
177,239,2,3,Central Line,#F15B2E
181,286,2,2,Central Line,#F15B2E
186,208,2,2,Central Line,#F15B2E
192,259,2,2,Central Line,#F15B2E
211,275,2,2,Central Line,#F15B2E
215,301,2,3,Central Line,#F15B2E
221,239,2,1,Central Line,#F15B2E
221,294,2,3,Central Line,#F15B2E
226,296,2,3,Central Line,#F15B2E
230,241,2,2,Central Line,#F15B2E
241,301,2,2,Central Line,#F15B2E
2,156,3,2,Circle Line,#FFE02B
